Product Name,Price,Rating
Fashion Men's Sneakers Leather Panel Shoes,"KSh 1,579",None
Fashion Electric Hair Straightener Brush Straightener Comb,"KSh 1,200",None
"Fashion Postpartum Belly Girdle, Waist Trainer Belt Body Shaper",KSh 589,None
Fashion Manicure Nail Clippers Kit Pedicure Set Nail 12Pcs,KSh 509,None
Fashion 3PCs Hottest Strappy Back French Lace Panties Ladies Panty(Hips 40-46inc) L034,KSh 739,None
Tooth Paste Dispenser & Tooth Brush Holder,KSh 545,None
Fashion Mens Official Ethiopian Leather Shoes Brown,"KSh 1,399",None
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner","KSh 2,699",None
Gene6 2 Pieces  Leather Automatic Buckle Belt - Black And Golden,KSh 670,None
"DR MEINAIER Alpha Arbutin Whitening Sugar Scrub Face&Body-Dead Skin, Stretchmarks &Acne Remover",KSh 599,None
Inflatable Deluxe Lounge Seat Set,"KSh 6,500",None
Fashion Mens Long Sleeve Dress Shirts-Navy,KSh 930,None
Fashion Men's Official  Pure Leather Shoes Anti Slip Black,"KSh 1,390",None
Fashion Jeans Comfortable Slim Fit Men - Black,"KSh 1,699",None
Fashion Ladies Rugged Jeans Trousers-casual Wear,"KSh 1,470",None
Fashion Unisex Black Warm Jacket Casual Coat,"KSh 1,395 - KSh 1,499",None
Charging Cable For All Android  Phones And Tablets,KSh 20,None
Fashion Men Quartz Business Steel Strip Watches,"KSh 2,063",None
Fashion 3 Pieces Beautiful Flowered   Cotton Seamless Ladies  Panties - Assorted Colors,KSh 485,None
60 By 200cm Self Adhesive Marble Contact Paper,KSh 999,None
Desktop Foldable Telescopic Phone Holder,KSh 500,None
Fashion Comfy Sports/ Sneaker Shoes Breathable Outdoor Casual Rubber Shoes,KSh 899 - KSh 990,None
Afrilighting LED Rechargeable Bulb With USB - 20 W,KSh 498,None
4Pcs Set Of Stainless Aluminum Sufuria WITH Lids,"KSh 1,499",None
 5 By 8 Soft Fluffy Patches Carpets Non-slip Rugs Floor Mat,"KSh 2,489",None
Fashion Men Women Plain Curved Sun Visor Baseball Cap,KSh 325,None
Cacatua Men's Official &Casual Boots,"KSh 2,590",None
(Only Case) Silicone Protective Case Cover Storage Box For AirPods Pro 3 Bluetooth Earphone-Purple,KSh 83,None
Fashion Men Open Sandles,"KSh 1,150",None
Adidas Galaxy 6 Shoes Men,"KSh 5,223",None
Fashion 2 Soft Khaki Men's Trouser Stretch Slim Fit Casual- Beige & Light Grey,"KSh 2,199 - KSh 2,399",None
Fashion Women Earring Set - 9 Pair,KSh 480,None
Defacto Man Casual Belt - Black,KSh 433,None
Kids Headphones // Foldable Headphones  Noise-Canceling Bluetooth Headphone,KSh 680,None
Stainless Steel Footrest N Barber Salon  Hairdressing,KSh 800,None
"Mika MFS1832R/BS 18” SMART Stand Fan With Remote, Black & Silver","KSh 8,995",None
Fashion 2Pcs Set Of Adjustable Suspenders Elastic Y-Shape Braces+Matching Bowtie.,KSh 699 - KSh 739,None
Fashion Leaf Crystal Simulated Pearl Wedding Jewelry Necklaces Earrings Sets,KSh 399,None
4G LTE USB MODEM With Wi-Fi Hotspot,"KSh 2,250",None
Epson  EcoTank L3250 A4 WIRELESS Printer (All-in-One),"KSh 32,000",None
Silicone Brush + Spatula - Heat Resistant Scraper Oil Pastry,KSh 499,None
Defacto Woman Young Fitted Crew Neck Knitted Short Sleeve T-Shirt - Black,KSh 562,None
"Sports Unisex Headbands For Gym,yoga",KSh 349,None
Motorbike Mobile Phone Holder,KSh 950,None
"Black Strap For Xiaomi Mi Band 3/4 And Smart Bracelet M3,M4.",KSh 260,None
Soft Fluffy Carpet Beige,"KSh 1,950 - KSh 5,290",None
360 Degrees HD 1080P CCTV Video  Light Bulb E27 Wireless Min  Security  Wifi Camera,"KSh 3,200",None
Fashion Men's Fashion T-shirt Sweat-absorbent And Breathable Cool Material-Yellow,KSh 300,None
USB3.0 USB PD SD/TF RJ45 4K 8-in-1 87W HUB Multiport Adapter Type-C To HDMI,"KSh 2,238",None
Luxurious Soft Fluffy Carpet-Cream,"KSh 1,950 - KSh 2,799",None
Fashion 3 Pack-Turkey Men's Formal Office Trousers Pants,"KSh 3,799",None
Wireless Keyboard And Mouse Combo -  2.4G,"KSh 1,299",None
Impulse Heat Electric Sealer Plastic Bag Sealing Machine,KSh 650,None
"14-43"" Wall Mount Bracket + Free 4 Way Extension",KSh 690,None
Fashion Secret Curves Padded Hips Booster Mid Thigh Shorts,"KSh 1,699 - KSh 1,799",None
Fashion Sport Fashion Quality Ladies Sneakers-White,"KSh 2,200",None
Fashion 2 Pack Classic Turkey Men's Formal Official Trousers,"KSh 2,399 - KSh 2,499",None
4 Tier Rotating Jewelry Box With Mirror - Blue,KSh 965,None
Fashion Men Light Sports Shoes-8830B,"KSh 1,699",None
Fashion 6PCs Hottest Strappy Back French Lace Panties Ladies Panty(Hips 40-46inc),"KSh 1,399",None
Fashion Ladies Cross-body Bags Mini Backpack Double Pull Leather Bag for women ,KSh 469,None
Defacto Woman Core Regular Fit Knitted Bermuda - Black,KSh 399,None
Digital TV Antenna With 10meters Cable,KSh 698,None
1 Pc 3 Heads Sweet Artificial Flower Fake Lily Floral-Yellow,KSh 317,None
